movie_name,ranking,score,score_num
再次出发之纽约遇见你,192,8.5,166928
青蛇,193,8.4,219299
东京物语,194,9.2,50157
绿里奇迹,195,8.7,105830
忠犬八公物语,196,9.0,57865
末路狂花,197,8.7,103850
哪吒闹海,198,8.8,79349
勇闯夺命岛,199,8.5,141055
终结者2：审判日,200,8.5,139897
迁徙的鸟,201,9.1,51551
卡萨布兰卡,202,8.6,123805
荒野生存,203,8.6,126364
这个男人来自地球,204,8.5,177930
源代码,205,8.3,405495
新龙门客栈,206,8.5,181535
变脸,207,8.4,212859
黑客帝国3：矩阵革命,208,8.5,153964
城市之光,209,9.2,43303
燕尾蝶,210,8.6,107337
E.T. 外星人,211,8.5,151363
黄金三镖客,212,9.1,50836
发条橙,213,8.4,184876
美国丽人,214,8.4,184004
英国病人,215,8.4,172997
头脑特工队,216,8.7,222048
模仿游戏,217,8.5,251705
无耻混蛋,218,8.4,221440
初恋这件小事,219,8.3,454774
叫我第一名,220,8.6,107787
穆赫兰道,221,8.3,232561
非常嫌疑犯,222,8.6,115171
房间,223,8.8,148158
勇士,224,8.9,86840
上帝也疯狂,225,8.6,95189
爱在午夜降临前,226,8.8,113924
无敌破坏王,227,8.6,182269
蓝色大门,228,8.3,270767
国王的演讲,229,8.3,335607
疯狂的石头,230,8.2,308607
血钻,231,8.5,129459
一个叫欧维的男人决定去死,232,8.7,110806
爱·回家,233,9.0,46823
枪火,234,8.6,98447
大卫·戈尔的一生,235,8.6,90772
步履不停,236,8.8,67658
千钧一发,237,8.7,83999
遗愿清单,238,8.5,125447
麦兜故事,239,8.5,126223
暖暖内含光,240,8.4,142815
荒岛余生,241,8.5,131370
曾经,242,8.3,200947
彗星来的那一夜,243,8.4,170444
无人知晓,244,9.0,51171
我爱你,245,9.0,55606
蝴蝶,246,8.6,94202
月球,247,8.5,141414
巴黎淘气帮,248,8.6,103440
与狼共舞,249,8.9,55327
偷拐抢骗,250,8.5,114829
